id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_ree;nom_reservatorio;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaodefluente;val_vazaonatural;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo
N;Norte;RCU;TOCANTINS;NORTE;TUCURUI;275;01/01/2021 00:00:00;62;5;28;6790;3654;0;3654;6108;3423;7;26
N;Norte;RCU;TOCANTINS;NORTE;TUCURUI;275;02/01/2021 00:00:00;62;5;29;6555;4695;0;4695;6090;3451;7;26
N;Norte;RCU;TOCANTINS;NORTE;TUCURUI;275;03/01/2021 00:00:00;62;5;29;6082;4398;0;4398;6136;3517;7;26
N;Norte;RCU;TOCANTINS;NORTE;TUCURUI;275;04/01/2021 00:00:00;62;5;29;5879;4375;0;4375;6149;3553;7;26
N;Norte;RCU;TOCANTINS;NORTE;TUCURUI;275;05/01/2021 00:00:00;62;6;29;6100;5534;0;5534;6179;3632;7;26
N;Norte;RCU;TOCANTINS;NORTE;TUCURUI;275;06/01/2021 00:00:00;62;6;29;6261;6450;0;6450;6226;3741;7;26
N;Norte;RCU;TOCANTINS;NORTE;TUCURUI;275;07/01/2021 00:00:00;62;6;29;6517;6139;0;6139;6351;3919;7;27
N;Norte;RCU;TOCANTINS;NORTE;TUCURUI;275;08/01/2021 00:00:00;62;6;30;6941;5995;0;5995;6447;4059;7;27
N;Norte;RCU;TOCANTINS;NORTE;TUCURUI;275;09/01/2021 00:00:00;62;6;30;7235;7614;0;7614;6516;4170;7;27
N;Norte;RCU;TOCANTINS;NORTE;TUCURUI;275;10/01/2021 00:00:00;62;6;30;6790;7168;0;7168;6474;4183;7;27
N;Norte;RCU;TOCANTINS;NORTE;TUCURUI;275;11/01/2021 00:00:00;62;7;29;6501;7822;0;7822;6349;4148;7;27
N;Norte;RCU;TOCANTINS;NORTE;TUCURUI;275;12/01/2021 00:00:00;62;7;29;6362;7677;0;7677;6135;4047;7;27
N;Norte;RCU;TOCANTINS;NORTE;TUCURUI;275;13/01/2021 00:00:00;62;6;29;6392;6767;0;6767;5994;4000;8;27
N;Norte;RCU;TOCANTINS;NORTE;TUCURUI;275;14/01/2021 00:00:00;62;6;29;6304;6304;0;6304;5999;4021;8;28
N;Norte;RCU;TOCANTINS;NORTE;TUCURUI;275;15/01/2021 00:00:00;62;6;29;6109;5547;0;5547;6152;4100;8;28
N;Norte;RCU;TOCANTINS;NORTE;TUCURUI;275;16/01/2021 00:00:00;62;6;29;6116;5741;0;5741;6374;4184;8;28
